resident_id,name,mobile,landline,email,language,sms_optout,voice_optout,email_optout,number_last_verified
RS-4000,Priya Whitlock,555-853-5210,,priya.whitlock@example.net,en,N,N,N,2023-02-05
RS-4001,Nadia Okonkwo,555-884-3958,,nadia.okonkwo@example.net,en,Y,N,N,2025-07-07
RS-4002,Joseph Whitlock,555-339-7468,555-246-6339,,es,Y,N,N,2024-06-21
RS-4003,Ivan Silva,555-853-5210,,,vi,N,N,N,2026-02-03
RS-4004,Mei Petrov,555-227-4455,555-218-8006,,en,N,N,N,2023-11-06
RS-4005,Elena Fowler,555-714-3453,,elena.fowler@example.net,en,N,N,N,2024-07-07
RS-4006,Tomas Whitlock,555-316-9811,555-234-4323,,en,N,N,N,2025-05-17
RS-4007,Patricia Thorne,555-794-1087,,,en,N,N,N,2025-02-15
RS-4008,Amara Crowley,555-494-2507,,amara.crowley@example.net,en,Y,N,N,2025-02-26
RS-4009,Karen Grady,,555-222-4475,,en,N,N,N,2024-06-18
RS-4010,Joseph Hollis,555-739-6759,555-229-8151,joseph.hollis@example.net,en,N,N,N,2023-11-17
RS-4011,Ivan Chen,555-392-1936,555-217-8783,ivan.chen@example.net,so,N,N,N,2024-03-20
RS-4012,Barbara Nakamura,555-643-8490,,,en,N,N,N,2023-11-15
RS-4013,Nadia Thorne,555-328-9083,,nadia.thorne@example.net,en,N,N,Y,2024-09-07
RS-4014,Ahmed Ashford,,555-231-6681,,en,N,N,N,2025-06-30
RS-4015,Daniel Grady,555-211-7631,,daniel.grady@example.net,so,N,N,N,2023-10-06
RS-4016,Sarah Kessler,555-429-8416,555-239-2427,sarah.kessler@example.net,en,N,N,N,2024-03-06
RS-4017,Priya Hollis,555-234-8272,,priya.hollis@example.net,en,N,N,N,2025-06-12
RS-4018,Mei Crowley,555-856-6537,,,en,N,N,N,2023-10-22
RS-4019,Joseph Carver,555-709-3481,,,ru,N,Y,N,2025-11-15
RS-4020,Karen Thorne,,555-239-6058,karen.thorne@example.net,en,N,N,N,2025-05-09
RS-4021,Nadia Fowler,555-825-7419,555-238-2919,nadia.fowler@example.net,en,Y,N,N,2024-11-13
RS-4022,Linda Ellery,555-805-7775,,linda.ellery@example.net,en,Y,N,N,2024-01-25
RS-4023,Grace Hollis,555-821-8880,,grace.hollis@example.net,en,N,N,N,2024-04-10
RS-4024,Amara Whitlock,555-535-4940,,amara.whitlock@example.net,en,N,N,N,2026-01-01
RS-4025,Susan Thorne,,555-241-1065,susan.thorne@example.net,en,N,N,N,2025-05-03
RS-4026,Sarah Iverson,555-513-4118,555-244-3109,sarah.iverson@example.net,vi,N,N,N,2025-11-15
RS-4027,Hieu Carver,555-591-9107,,,en,N,N,N,2026-01-21
RS-4028,Joseph Carver,555-817-4487,,joseph.carver@example.net,en,N,N,N,2023-12-16
RS-4029,Robert Ashford,555-722-9973,555-229-1555,robert.ashford@example.net,es,N,N,N,2024-12-20
RS-4030,Sarah Ellery,,555-215-8538,,vi,N,N,N,2025-09-24
RS-4031,Amara Chen,555-803-9932,,amara.chen@example.net,en,N,N,N,2025-07-29
RS-4032,Elena Ellery,555-428-7817,,elena.ellery@example.net,ru,Y,N,N,2024-09-04
RS-4033,Hieu Nakamura,555-896-8785,,hieu.nakamura@example.net,vi,N,N,N,2023-12-29
RS-4034,David Crowley,555-340-2455,,david.crowley@example.net,en,N,N,N,2025-02-08
